loopIteration,time,gyroADC[0],gyroADC[1],gyroADC[2]
0,17651280,0,-1,0
1,17732980,4,-4,1
2,17736308,3,-2,3
3,17739648,5,-4,3
4,17742992,4,-3,2
5,17746320,1,-6,1
6,17749652,1,-4,-0
7,17752984,2,-3,0
8,17756312,3,-1,0
9,17759644,2,-1,0
10,17762972,1,-1,0
11,17766340,-0,-0,0
12,17769700,-0,0,0
13,17773028,0,0,1
14,17776352,1,-0,0
15,17779728,-0,-0,-0
16,17783108,-1,-0,-0
17,17786484,-1,-1,-0
18,17789848,-2,-1,0
19,17793212,-1,-1,1
20,17796564,-1,-1,1
21,17799920,-2,-2,1
22,17803296,-2,-1,0
23,17806652,-2,-1,-0
24,17810020,-1,-1,0
25,17816696,-1,-1,0
26,17820064,-1,-1,-0
27,17823424,-1,-1,0
28,17826796,-1,-1,0
29,17830156,0,-1,0
30,17833500,1,-1,0
31,17836848,0,-1,0
32,17840200,1,-1,0
33,17843528,1,-1,0
34,17846860,2,-1,0
35,17850212,2,-1,0
36,17853564,2,-1,0
37,17856920,2,-1,0
38,17860256,3,-1,0
39,17863616,3,-1,0
40,17866976,3,-0,0
41,17870328,3,-0,1
42,17873688,3,-0,0
43,17877040,3,-0,0
44,17880400,3,-0,0
45,17883768,3,-0,0
46,17887132,3,-0,0
47,17890480,2,-0,0
48,17893824,2,-0,0
49,17897156,2,-0,0
50,17900504,2,-0,0
51,17907188,1,-0,0
52,17910544,1,-0,0
53,17913904,0,-0,0
54,17917248,0,-0,0
55,17920608,-0,0,0
56,17923976,-1,-0,-0
57,17927356,-1,-0,0
58,17930728,-1,-0,-0
59,17934096,-1,-0,-0
60,17937472,-2,-0,0
61,17940844,-2,-0,0
62,17944212,-2,-1,0
63,17947608,-2,-1,-0
64,17950988,-3,-1,0
65,17954360,-3,-1,0
66,17957744,-3,-0,-0
67,17961140,-3,-1,-0
68,17964512,-3,-0,0
69,17967880,-3,-1,0
70,17971260,-3,-1,0
71,17974620,-3,-1,0
72,17977988,-3,-1,0
73,17981364,-3,-1,-0
74,17984760,-3,-0,-0
75,17988128,-2,-0,-0
76,17991520,-2,-0,-0
77,17998096,-2,0,-0
78,18001448,-1,-0,0
79,18004808,-1,0,0
80,18008164,-1,0,0
81,18011504,-0,0,0
82,18014844,0,-0,0
83,18018188,1,-0,0
84,18021540,1,-0,0
85,18024880,1,-0,0
86,18028220,1,-0,0
87,18031548,2,-0,0
88,18034904,2,-0,0
89,18038236,2,-0,0
90,18041588,3,-0,0
91,18044940,3,-0,0
92,18048296,3,0,0
93,18051628,3,0,0
94,18054956,3,0,0
95,18058304,3,-0,1
96,18061644,3,0,1
97,18064980,3,-0,0
98,18068336,3,-0,0
99,18071696,3,-0,0
100,18075052,3,-0,0
101,18078412,3,-0,0
102,18081808,2,-0,0
103,18088372,1,-0,0
104,18091724,2,-0,0
105,18095092,1,-0,0
106,18098464,1,-0,0
107,18101836,0,-0,0
108,18105220,0,-0,0
109,18108608,-0,-0,0
110,18111984,-0,-0,0
111,18115368,-1,-0,0
112,18118756,-1,-0,0
113,18122132,-1,-0,0
114,18125516,-2,-0,-0
115,18128924,-2,-0,0
116,18132320,-2,-0,0
117,18135716,-2,-0,0
118,18139120,-2,-0,0
119,18142512,-2,-0,-0
120,18145912,-2,-0,0
121,18149300,-2,-0,-0
122,18152720,-2,-1,0
123,18156100,-2,-1,0
124,18159476,-2,-0,0
125,18162868,-2,-0,0
126,18166244,-1,-0,0
127,18169624,-1,-0,0
128,18176212,-1,0,0
129,18179576,-0,1,-0
130,18182952,0,1,0
131,18186308,0,1,0
132,18189656,1,1,0
133,18193008,1,0,0
134,18196348,1,0,0
135,18199700,1,0,0
136,18203052,2,-0,0
137,18206412,2,-0,0
138,18209772,2,-0,0
139,18213136,2,-0,0
140,18216500,2,-0,1
141,18219860,2,-0,0
142,18223220,2,0,0
143,18226564,2,0,0
144,18229908,2,-0,0
145,18233260,2,0,0
146,18236604,2,1,-0
147,18239972,2,0,-0
148,18243340,2,0,-0
149,18246708,1,0,0
150,18250048,2,0,0
151,18253412,1,-0,0
152,18256780,1,-0,0
153,18260140,1,-0,0
154,18266588,1,-0,0
155,18269948,0,-0,0
156,18273328,1,0,0
157,18276664,0,1,1
158,18280004,0,1,0
159,18283360,0,1,0
160,18286728,-0,1,-0
161,18290100,-0,1,-0
162,18293484,-0,0,-0
163,18296872,-1,0,0
164,18300236,-1,0,0
165,18303604,-1,-0,0
166,18306996,-2,-1,0
167,18310400,-2,-1,0
168,18313776,-2,-0,0
169,18317148,-2,0,0
170,18320524,-2,0,0
171,18323888,-1,1,-0
172,18327260,-2,0,0
173,18330644,-2,-0,0
174,18334020,-1,0,0
175,18337380,-1,0,-0
176,18340752,-1,0,-0
177,18344152,-1,-0,-0
178,18347552,-1,-0,0
179,18354056,-1,-0,0
180,18357428,-1,-0,0
181,18360812,-0,0,0
182,18364176,-0,0,0
183,18367544,0,0,0
184,18370896,0,0,0
185,18374252,0,-0,0
186,18377628,1,0,0
187,18380984,1,0,0
188,18384336,1,0,0
189,18387676,1,0,0
190,18391044,1,-0,0
191,18394412,1,-0,0
192,18397776,1,-0,0
193,18401132,1,-0,0
194,18404496,1,-0,0
195,18407852,2,0,0
196,18411204,2,-0,0
197,18414568,1,-0,0
198,18417928,2,0,0
199,18421268,2,-0,0
200,18424624,1,0,0
201,18427976,1,0,0
202,18431324,1,0,0
203,18434676,1,-0,0
204,18438048,1,-0,0
205,18444636,1,-0,0
206,18448004,0,-0,0
207,18451384,0,-0,0
208,18454756,0,-0,0
209,18458128,-0,0,0
210,18461516,-0,-0,0
211,18464908,-0,-0,-0
212,18468300,-0,0,0
213,18471676,-0,0,0
214,18475060,-1,0,-0
215,18478460,-1,-0,0
216,18481836,-1,-0,0
217,18485224,-1,-0,0
218,18488608,-1,-0,0
219,18492000,-1,-0,0
220,18495400,-1,-0,0
221,18498780,-1,-0,0
222,18502160,-1,-0,0
223,18505544,-1,0,0
224,18508920,-0,0,0
225,18512292,-1,0,-0
226,18515676,-1,0,0
227,18519052,-1,0,0
228,18522420,-1,-0,0
229,18525804,-0,-0,0
230,18532420,-0,-0,0
231,18535808,-0,-0,0
232,18539196,0,-0,0
233,18542564,0,-0,0
234,18545936,0,0,0
235,18549276,0,0,0
236,18552636,0,0,0
237,18555992,1,0,0
238,18559344,1,-0,0
239,18562716,1,-0,0
240,18566080,1,-0,0
241,18569456,1,-0,0
242,18572820,1,0,0
243,18576184,1,-0,0
244,18579564,1,-0,0
245,18582924,1,-0,0
246,18586288,1,-0,0
247,18589652,1,0,0
248,18593012,1,0,0
249,18596372,0,-0,0
250,18599752,1,0,0
251,18603116,0,-0,0
252,18606476,0,-0,0
253,18609844,1,-0,0
254,18613216,0,-0,0
255,18616592,0,-0,0
256,18623144,0,-0,0
257,18626516,0,-0,0
258,18629904,0,-0,0
259,18633272,-0,0,0
260,18636644,-0,0,0
261,18640028,-0,-0,0
262,18643404,-0,-0,0
263,18646792,-0,-0,0
264,18650188,-0,-0,-0
265,18653600,-1,-0,0
266,18656972,-0,0,0
267,18660344,-0,-0,0
268,18663740,-0,-0,0
269,18667116,-0,-0,0
270,18670504,-0,-0,0
271,18673904,0,0,0
272,18677268,-0,-0,0
273,18680648,-0,0,0
274,18684040,-0,-0,0
275,18687432,0,-0,0
276,18690800,-0,-0,0
277,18694200,0,-0,0
278,18697576,0,-0,0
279,18700944,0,-0,0
280,18704308,0,-0,0
281,18710860,0,-0,0
282,18714224,0,-0,0
283,18717584,1,0,0
284,18720956,1,-0,0
285,18724336,0,-0,0
286,18727704,1,-0,0
287,18731080,1,-0,0
288,18734436,1,0,0
289,18737796,1,-0,0
290,18741172,1,-0,0
291,18744548,0,-0,0
292,18747916,0,-0,0
293,18751280,0,-0,0
294,18754660,1,-0,0
295,18758012,1,0,0
296,18761364,0,-0,0
297,18764724,0,0,0
298,18768096,0,-0,0
299,18771468,0,-0,0
300,18774844,0,-0,0
301,18778224,0,0,0
302,18781568,-0,0,0
303,18784940,0,-0,0
304,18788324,-0,-0,0
305,18791712,-0,-0,0
306,18795104,-0,-0,0
307,18801716,-0,-0,0
308,18805104,-0,0,0
309,18808484,-0,-0,0
310,18811872,-0,-0,0
311,18815264,-0,0,0
312,18818656,-0,-0,-0
313,18822064,-0,-0,0
314,18825448,-0,-0,0
315,18828828,-0,-0,0
316,18832208,-0,-0,0
317,18835612,-0,-0,0
318,18838992,0,0,0
319,18842356,-0,0,0
320,18845740,-0,-0,0
321,18849120,-0,-0,0
322,18852500,0,-0,0
323,18855872,0,-0,0
324,18859244,0,0,0
325,18862584,0,0,0
326,18865936,0,-0,0
327,18869308,0,-0,0
328,18872672,0,-0,0
329,18876040,0,-0,0
330,18879408,1,0,0
